"row_id","uid","num_taxa","num_trees","tree_depth","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
28608,"exp1_00020_0010_008_1",10,20,1,8,"JC",NA,10000,"DNA",246,4,0,250,0.984,36.1,35.02,34.13,44.31,"Treelike",0.507040442181289,0.006214,1,0.981004482255367,0.540384603032693,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_008_1/exp1_00020_0010_008_1_output_alignment.fa"
28609,"exp1_00020_0010_009_1",10,20,1,9,"JC",NA,10000,"DNA",248,2,0,250,0.992,38.84,38.1,34.81,48.42,"Treelike",0.491654514183895,0.0053243,1,0.983066210069137,0.534954003322542,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_009_1/exp1_00020_0010_009_1_output_alignment.fa"
28610,"exp1_00020_0010_010_1",10,20,1,10,"JC",NA,10000,"DNA",249,1,0,250,0.996,38.5,39.04,35.8,42.84,"Treelike",0.498549544352843,0.0064724,1,0.985494727965769,0.541960646161809,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_010_1/exp1_00020_0010_010_1_output_alignment.fa"
28611,"exp1_00020_0010_011_1",10,20,1,11,"JC",NA,10000,"DNA",249,1,0,250,0.996,38.42,37.74,34.3,46.68,"Treelike",0.479152899162295,0.0048943,1,0.98522557330549,0.511943397538001,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_011_1/exp1_00020_0010_011_1_output_alignment.fa"
28612,"exp1_00020_0010_012_1",10,20,1,12,"JC",NA,10000,"DNA",246,3,1,250,0.984,40.28,38.64,34.27,52.82,"Treelike",0.444482815229484,0.0050217,1,0.98607151774778,0.655821082980056,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_012_1/exp1_00020_0010_012_1_output_alignment.fa"
28613,"exp1_00020_0010_013_1",10,20,1,13,"JC",NA,10000,"DNA",242,8,0,250,0.968,38.01,37.6,34.14,44.29,"Treelike",0.51126505027616,0.007129,1,0.983881173200492,0.537714218297876,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_013_1/exp1_00020_0010_013_1_output_alignment.fa"
28614,"exp1_00020_0010_014_1",10,20,1,14,"JC",NA,10000,"DNA",242,8,0,250,0.968,39.74,40.72,32.23,46.87,"Non-treelike",0.481809686800737,0.0058489,1,0.986200996734261,0.601850351249085,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_014_1/exp1_00020_0010_014_1_output_alignment.fa"
28615,"exp1_00020_0010_015_1",10,20,1,15,"JC",NA,10000,"DNA",243,7,0,250,0.972,38.24,38.32,34.53,41.14,"Treelike",0.487851493981336,0.0041763,1,0.984076891885397,0.48249362236873,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_015_1/exp1_00020_0010_015_1_output_alignment.fa"
28616,"exp1_00020_0010_016_1",10,20,1,16,"JC",NA,10000,"DNA",244,6,0,250,0.976,38.66,39.45,34.96,40.07,"Treelike",0.45582357612231,0.0047718,1,0.986751862448497,0.510417137400485,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_016_1/exp1_00020_0010_016_1_output_alignment.fa"
28617,"exp1_00020_0010_017_1",10,20,1,17,"JC",NA,10000,"DNA",245,5,0,250,0.98,38.8,38.95,34.29,43.9,"Treelike",0.50192598065352,0.0057366,1,0.984718225980086,0.650666831142802,"/mnt/data/dayhoff/home/u5348329/treelikeness_metrics/exp_1/exp1_00020_0010_017_1/exp1_00020_0010_017_1_output_alignment.fa"
