"row_id","uid","num_taxa","num_trees","tree_depth","recombination_value","recombination_type","num_reps","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","LM_num_resolved_quartets","LM_num_partly_resolved_quartets","LM_num_unresolved_quartets","LM_total_num_quartets","LM_proportion_resolved_quartets","sCF_mean","sCF_median","sCF_min","sCF_max","NetworkTreelikenessTest","mean_delta_plot_value","mean_Q_residual","mean_TIGER_value","Cunningham_test","tree_proportion","input_alignment_path"
23,"exp2_00250_0050_003_0.1_0_Ancient",50,250,0.1,0,"Ancient",3,"JC",NA,250000,"DNA","1249","1","0","1250","0.9992",35.52,34.99,32.56,45.19,"Treelike",0.416194848113363,0.00128422,"no_TIGER_run",0.90247701818232,0.558766935733975,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_003_0.1_0_Ancient/exp2_00250_0050_003_0.1_0_Ancient_output_alignment.fa"
24,"exp2_00250_0050_004_0.1_0_Ancient",50,250,0.1,0,"Ancient",4,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.55,35.07,33.18,45.19,"Non-treelike",0.33446616910646,0.00116776,"no_TIGER_run",0.911730248270677,0.597910356051714,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_004_0.1_0_Ancient/exp2_00250_0050_004_0.1_0_Ancient_output_alignment.fa"
25,"exp2_00250_0050_005_0.1_0_Ancient",50,250,0.1,0,"Ancient",5,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.55,35.12,32.74,42.01,"Non-treelike",0.390652762789215,0.00132962,"no_TIGER_run",0.918173587052576,0.592870913861621,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_005_0.1_0_Ancient/exp2_00250_0050_005_0.1_0_Ancient_output_alignment.fa"
26,"exp2_00250_0050_006_0.1_0_Ancient",50,250,0.1,0,"Ancient",6,"JC",NA,250000,"DNA","1249","1","0","1250","0.9992",35.11,34.97,32.89,38.7,"Non-treelike",0.442437651416494,0.00163576,"no_TIGER_run",0.89728014419825,0.549798565030845,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_006_0.1_0_Ancient/exp2_00250_0050_006_0.1_0_Ancient_output_alignment.fa"
27,"exp2_00250_0050_007_0.1_0_Ancient",50,250,0.1,0,"Ancient",7,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.89,35.24,32.09,42.42,"Non-treelike",0.340004671834262,0.0013408,"no_TIGER_run",0.904019302599063,0.561603067347913,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_007_0.1_0_Ancient/exp2_00250_0050_007_0.1_0_Ancient_output_alignment.fa"
28,"exp2_00250_0050_008_0.1_0_Ancient",50,250,0.1,0,"Ancient",8,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.41,34.69,33.26,50.94,"Non-treelike",0.334637514992296,0.00114904,"no_TIGER_run",0.901821975172496,0.604559870645936,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_008_0.1_0_Ancient/exp2_00250_0050_008_0.1_0_Ancient_output_alignment.fa"
29,"exp2_00250_0050_009_0.1_0_Ancient",50,250,0.1,0,"Ancient",9,"JC",NA,250000,"DNA","1249","1","0","1250","0.9992",35.52,35.28,32.53,48.32,"Treelike",0.367047885290701,0.00126106,"no_TIGER_run",0.898121677343951,0.529885720227533,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_009_0.1_0_Ancient/exp2_00250_0050_009_0.1_0_Ancient_output_alignment.fa"
30,"exp2_00250_0050_010_0.1_0_Ancient",50,250,0.1,0,"Ancient",10,"JC",NA,250000,"DNA","1250","0","0","1250","1",35.27,34.76,32.47,46.14,"Non-treelike",0.367790078720337,0.00134848,"no_TIGER_run",0.903376148376808,0.575154349797914,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0050_010_0.1_0_Ancient/exp2_00250_0050_010_0.1_0_Ancient_output_alignment.fa"
31,"exp2_00250_0100_001_0.1_0_Ancient",100,250,0.1,0,"Ancient",1,"JC",NA,250000,"DNA","2499","1","0","2500","0.9996",35.2,34.93,31.64,48.73,"Non-treelike",0.350679509344517,0.00119545,"no_TIGER_run",0.847336782611017,0.543930657473176,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_001_0.1_0_Ancient/exp2_00250_0100_001_0.1_0_Ancient_output_alignment.fa"
32,"exp2_00250_0100_002_0.1_0_Ancient",100,250,0.1,0,"Ancient",2,"JC",NA,250000,"DNA","2499","1","0","2500","0.9996",35.09,34.84,32.83,51.12,"Non-treelike",0.378517493656617,0.00130337,"no_TIGER_run",0.839656497123552,0.556682362985794,"/data/caitlin/treelikeness_metrics/exp_2/exp2_00250_0100_002_0.1_0_Ancient/exp2_00250_0100_002_0.1_0_Ancient_output_alignment.fa"
