"uid","tree_proportion"
"exp1_00008_0020_007_1e-04","0.629052829989635"
"exp1_00008_0020_008_1e-04","0.706306946346602"
"exp1_00008_0020_009_1e-04","0.75"
"exp1_00008_0020_010_1e-04","0.610889418614341"
"exp1_00008_0050_001_1e-04","0.704547218867824"
"exp1_00008_0050_002_1e-04","0.704367885076038"
"exp1_00008_0050_003_1e-04","0.676286089340577"
"exp1_00008_0050_004_1e-04","0.673596099741279"
"exp1_00008_0050_005_1e-04","0.741206455471442"
"exp1_00008_0050_006_1e-04","0.598411295279368"
"exp1_00008_0050_007_1e-04","0.710572851571381"
"exp1_00008_0050_008_1e-04","0.563231378536198"
"exp1_00008_0050_009_1e-04","0.628004770776149"
"exp1_00008_0050_010_1e-04","0.660518280068933"
"exp1_00008_0100_001_1e-04","0.643317983686791"
"exp1_00008_0100_002_1e-04","0.62309890557436"
"exp1_00008_0100_003_1e-04","0.627841322407335"
"exp1_00008_0100_004_1e-04","0.603337952097145"
"exp1_00008_0100_005_1e-04","0.621974846812749"
"exp1_00008_0100_006_1e-04","0.562582255323855"
"exp1_00008_0100_007_1e-04","0.751622880190922"
"exp1_00008_0100_008_1e-04","0.552771689356813"
"exp1_00008_0100_009_1e-04","0.669556216861273"
"exp1_00008_0100_010_1e-04","0.57590037204013"
"exp1_00010_0005_001_1e-04","0.5"
"exp1_00010_0005_002_1e-04","1"
"exp1_00010_0005_003_1e-04","1"
"exp1_00010_0005_004_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00010_0005_005_1e-04","0.7"
"exp1_00010_0005_006_1e-04","0.5"
"exp1_00010_0005_007_1e-04","1"
"exp1_00010_0005_008_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00010_0005_009_1e-04","0.666666666666667"
"exp1_00010_0005_010_1e-04","1"
"exp1_00010_0010_001_1e-04","Only_trivial_splits_in_network_and_tree"
"exp1_00010_0010_002_1e-04","0.672597629249654"
"exp1_00010_0010_003_1e-04","0.666666666666667"
"exp1_00010_0010_004_1e-04","1"
"exp1_00010_0010_005_1e-04","1"
"exp1_00010_0010_006_1e-04","0.483145976043268"
"exp1_00010_0010_007_1e-04","1"
"exp1_00010_0010_008_1e-04","0.428571428571429"
"exp1_00010_0010_009_1e-04","0.5"
"exp1_00010_0010_010_1e-04","0.508524842030972"
"exp1_00010_0020_001_1e-04","0.5"
"exp1_00010_0020_002_1e-04","0.647735611009775"
"exp1_00010_0020_003_1e-04","0.579550956610147"
"exp1_00010_0020_004_1e-04","0.505886697793343"
"exp1_00010_0020_005_1e-04","0.529738498353112"
"exp1_00010_0020_006_1e-04","0.502738109569398"
"exp1_00010_0020_007_1e-04","0.721194184859243"
"exp1_00010_0020_008_1e-04","0.687321903864047"
"exp1_00010_0020_009_1e-04","0.698441126952026"
"exp1_00010_0020_010_1e-04","0.672197303626135"
"exp1_00010_0050_001_1e-04","0.8"
"exp1_00010_0050_002_1e-04","0.718874358265385"
"exp1_00010_0050_003_1e-04","0.718181513779315"
"exp1_00010_0050_004_1e-04","0.714835032438481"
