"uid","tree_proportion"
"exp2_00250_0050_007_1_0_Ancient",0.742837328293623
"exp2_00250_0050_008_1_0_Ancient",0.795258059411053
"exp2_00250_0050_009_1_0_Ancient",0.798732050863601
"exp2_00250_0050_010_1_0_Ancient",0.779786118691058
"exp2_00250_0100_001_1_0_Ancient",0.696969926699696
"exp2_00250_0100_002_1_0_Ancient",0.69593382418513
"exp2_00250_0100_003_1_0_Ancient",0.724896943433264
"exp2_00250_0100_004_1_0_Ancient",0.753122855830451
"exp2_00250_0100_005_1_0_Ancient",0.740084385764927
"exp2_00250_0100_006_1_0_Ancient",0.705008218178387
"exp2_00250_0100_007_1_0_Ancient",0.676660055915839
"exp2_00250_0100_008_1_0_Ancient",0.739714033836058
"exp2_00250_0100_009_1_0_Ancient",0.702896417142394
"exp2_00250_0100_010_1_0_Ancient",0.700662027449379
"exp2_00250_0010_001_10_0_Ancient",0.968342915337504
"exp2_00250_0010_002_10_0_Ancient",0.989704431171629
"exp2_00250_0010_003_10_0_Ancient",0.966101243059133
"exp2_00250_0010_004_10_0_Ancient",0.938691243125156
"exp2_00250_0010_005_10_0_Ancient",0.97017442359896
"exp2_00250_0010_006_10_0_Ancient",0.991303433213791
"exp2_00250_0010_007_10_0_Ancient",0.959160639480555
"exp2_00250_0010_008_10_0_Ancient",0.990663174955822
"exp2_00250_0010_009_10_0_Ancient",0.975222700607821
"exp2_00250_0010_010_10_0_Ancient",0.987120095483738
"exp2_00250_0020_001_10_0_Ancient",0.948743926380656
"exp2_00250_0020_002_10_0_Ancient",0.922940162252855
"exp2_00250_0020_003_10_0_Ancient",0.958773303191295
"exp2_00250_0020_004_10_0_Ancient",0.963073139804735
"exp2_00250_0020_005_10_0_Ancient",0.95443614599847
"exp2_00250_0020_006_10_0_Ancient",0.941398999995353
"exp2_00250_0020_007_10_0_Ancient",0.957013098345573
"exp2_00250_0020_008_10_0_Ancient",0.95739673660526
"exp2_00250_0020_009_10_0_Ancient",0.957457888044817
"exp2_00250_0020_010_10_0_Ancient",0.951393618826544
"exp2_00250_0050_001_10_0_Ancient",0.930476092341824
"exp2_00250_0050_002_10_0_Ancient",0.942519144515515
"exp2_00250_0050_003_10_0_Ancient",0.940373960335165
"exp2_00250_0050_004_10_0_Ancient",0.955726312854231
"exp2_00250_0050_005_10_0_Ancient",0.932621173708673
"exp2_00250_0050_006_10_0_Ancient",0.945930573012819
"exp2_00250_0050_007_10_0_Ancient",0.93662984431257
"exp2_00250_0050_008_10_0_Ancient",0.949066897217229
"exp2_00250_0050_009_10_0_Ancient",0.930697978162459
"exp2_00250_0050_010_10_0_Ancient",0.92101951000723
"exp2_00250_0100_001_10_0_Ancient",0.857888351134815
"exp2_00250_0100_002_10_0_Ancient",0.87668033920319
"exp2_00250_0100_003_10_0_Ancient",0.833385181769433
"exp2_00250_0100_004_10_0_Ancient",0.916605271207491
"exp2_00250_0100_005_10_0_Ancient",0.784468069710184
"exp2_00250_0100_006_10_0_Ancient",0.833203170043884
"exp2_00250_0100_007_10_0_Ancient",0.944205312157718
"exp2_00250_0100_008_10_0_Ancient",0.928242269875151
"exp2_00250_0100_009_10_0_Ancient",0.913735506270797
"exp2_00250_0100_010_10_0_Ancient",0.887691550884423
