"row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","identical_sequences_present","number_unique_taxa","NetworkTreelikenessTest","network_num_splits","network_num_trivial_splits","network_num_nontrivial_splits","confidence_network_num_splits","confidence_network_num_trivial_splits","confidence_network_num_nontrivial_splits","tree_num_splits","tree_num_trivial_splits","tree_num_nontrivial_splits"
101,1,100,2,1,"expA2_00002_0100_001_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_10kbp/expA2_00002_0100_001_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_10kbp/expA2_00002_0100_001_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_10kbp/expA2_00002_0100_001_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",2207,100,2107,210,100,110,197,100,97
1101,1,100,2,1,"expA2_00002_0100_001_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_20kbp/expA2_00002_0100_001_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_20kbp/expA2_00002_0100_001_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_20kbp/expA2_00002_0100_001_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",2142,100,2042,219,100,119,197,100,97
2101,1,100,2,1,"expA2_00002_0100_001_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_30kbp/expA2_00002_0100_001_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_30kbp/expA2_00002_0100_001_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_001_1_30kbp/expA2_00002_0100_001_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",4614,100,4514,206,100,106,197,100,97
102,2,100,2,1,"expA2_00002_0100_002_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_10kbp/expA2_00002_0100_002_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_10kbp/expA2_00002_0100_002_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_10kbp/expA2_00002_0100_002_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",2833,100,2733,213,100,113,197,100,97
1102,2,100,2,1,"expA2_00002_0100_002_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_20kbp/expA2_00002_0100_002_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_20kbp/expA2_00002_0100_002_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_20kbp/expA2_00002_0100_002_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",2634,100,2534,246,100,146,197,100,97
2102,2,100,2,1,"expA2_00002_0100_002_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_30kbp/expA2_00002_0100_002_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_30kbp/expA2_00002_0100_002_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_002_1_30kbp/expA2_00002_0100_002_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",2458,100,2358,244,100,144,197,100,97
103,3,100,2,1,"expA2_00002_0100_003_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_10kbp/expA2_00002_0100_003_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_10kbp/expA2_00002_0100_003_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_10kbp/expA2_00002_0100_003_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",2390,100,2290,208,100,108,197,100,97
1103,3,100,2,1,"expA2_00002_0100_003_1_20kbp","JC",NA,20000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_20kbp/expA2_00002_0100_003_1_20kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_20kbp/expA2_00002_0100_003_1_20kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_20kbp/expA2_00002_0100_003_1_20kbp_output_alignment.fa",FALSE,100,"Non-treelike",4740,100,4640,181,100,81,197,100,97
2103,3,100,2,1,"expA2_00002_0100_003_1_30kbp","JC",NA,30000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_30kbp/expA2_00002_0100_003_1_30kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_30kbp/expA2_00002_0100_003_1_30kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_003_1_30kbp/expA2_00002_0100_003_1_30kbp_output_alignment.fa",FALSE,100,"Non-treelike",2127,100,2027,249,100,149,197,100,97
104,4,100,2,1,"expA2_00002_0100_004_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_10kbp/expA2_00002_0100_004_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_10kbp/expA2_00002_0100_004_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00002_0100_004_1_10kbp/expA2_00002_0100_004_1_10kbp_output_alignment.fa",FALSE,100,"Non-treelike",10748,100,10648,154,100,54,197,100,97
