"X","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file","num_resolved_quartets","num_partly_resolved_quartets","num_unresolved_quartets","total_num_quartets","proportion_resolved_quartets","quartet_treeness_min","quartet_treeness_1st_qu","quartet_treeness_median","quartet_treeness_mean","quartet_treeness_3rd_qu","quartet_treeness_max","quartet_treeness_num_sampled_quartets","quartet_treeness_total_num_quartets"
2507,2507,7,5,1,1,"expB1_00001_0005_007_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_1/expB1_00001_0005_007_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_1/expB1_00001_0005_007_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_007_1/expB1_00001_0005_007_1_output_alignment.fa",125,0,0,125,1,0.149560481525569,0.182809339702784,0.280012684677874,0.267433952375181,0.333656220851595,0.391131035118081,5,5
8,8,8,5,1,0.01,"expB1_00001_0005_008_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_0.01/expB1_00001_0005_008_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_0.01/expB1_00001_0005_008_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_0.01/expB1_00001_0005_008_0.01_output_alignment.fa",125,0,0,125,1,0.0245986713578677,0.028712942684278,0.107302096424767,0.0921906265248205,0.134236794480915,0.166102627676275,5,5
1258,1258,8,5,1,0.1,"expB1_00001_0005_008_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_0.1/expB1_00001_0005_008_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_0.1/expB1_00001_0005_008_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_0.1/expB1_00001_0005_008_0.1_output_alignment.fa",125,0,0,125,1,0.156145480005398,0.169853240250012,0.338739157990167,0.286209955128037,0.372295343466913,0.394016553927695,5,5
2508,2508,8,5,1,1,"expB1_00001_0005_008_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_1/expB1_00001_0005_008_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_1/expB1_00001_0005_008_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_008_1/expB1_00001_0005_008_1_output_alignment.fa",121,1,3,125,0.968,0.0905689414918452,0.106980791128957,0.263433480404439,0.2316083339843,0.318356756264334,0.378701700631923,5,5
9,9,9,5,1,0.01,"expB1_00001_0005_009_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_0.01/expB1_00001_0005_009_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_0.01/expB1_00001_0005_009_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_0.01/expB1_00001_0005_009_0.01_output_alignment.fa",65,0,60,125,0.52,0.00183258386823829,0.00184843168538227,0.443560221303016,0.294516149983341,0.461992969391685,0.563346543668384,5,5
1259,1259,9,5,1,0.1,"expB1_00001_0005_009_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_0.1/expB1_00001_0005_009_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_0.1/expB1_00001_0005_009_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_0.1/expB1_00001_0005_009_0.1_output_alignment.fa",125,0,0,125,1,0.164277412165084,0.164643226410731,0.185940092054346,0.180345141079183,0.192667126999356,0.194197847766396,5,5
2509,2509,9,5,1,1,"expB1_00001_0005_009_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_1/expB1_00001_0005_009_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_1/expB1_00001_0005_009_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_009_1/expB1_00001_0005_009_1_output_alignment.fa",107,11,7,125,0.856,0.204329109713039,0.208990397869469,0.570255097735148,0.476999618331616,0.692160744356616,0.709262741983807,5,5
10,10,10,5,1,0.01,"expB1_00001_0005_010_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_0.01/expB1_00001_0005_010_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_0.01/expB1_00001_0005_010_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_0.01/expB1_00001_0005_010_0.01_output_alignment.fa",88,0,37,125,0.704,0.00385146679611152,0.00451740118480771,0.112638276616383,0.0747899746434828,0.114457947572414,0.138484781047698,5,5
1260,1260,10,5,1,0.1,"expB1_00001_0005_010_0.1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_0.1/expB1_00001_0005_010_0.1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_0.1/expB1_00001_0005_010_0.1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_0.1/expB1_00001_0005_010_0.1_output_alignment.fa",125,0,0,125,1,0.22068256376806,0.223898611061264,0.256366576608852,0.302589933963102,0.260952145526603,0.551049772850733,5,5
2510,2510,10,5,1,1,"expB1_00001_0005_010_1","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_1/expB1_00001_0005_010_1_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_1/expB1_00001_0005_010_1_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0005_010_1/expB1_00001_0005_010_1_output_alignment.fa",125,0,0,125,1,0.24523564265459,0.250886568579626,0.260271774882308,0.260392115188259,0.264345640288499,0.28122094953627,5,5
11,11,1,10,1,0.01,"expB1_00001_0010_001_0.01","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0010_001_0.01/expB1_00001_0010_001_0.01_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0010_001_0.01/expB1_00001_0010_001_0.01_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppB/exp_B1/expB1_00001_0010_001_0.01/expB1_00001_0010_001_0.01_output_alignment.fa",250,0,0,250,1,0.0278409123958607,0.227381969432028,0.290905356418124,0.290077186209705,0.353536381564452,0.589404411573452,210,210
