"num_reps","num_taxa","num_trees","tree_depth","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","uid","st_rt_max_branching_times_min","st_rt_max_branching_times_1st_qu","st_rt_max_branching_times_median","st_rt_max_branching_times_mean","st_rt_max_branching_times_3rd_qu","st_rt_max_branching_times_max","st_rt_tree_height_min","st_rt_tree_height_1st_qu","st_rt_tree_height_median","st_rt_tree_height_mean","st_rt_tree_height_3rd_qu","st_rt_tree_height_max","st_rt_crown_age_min","st_rt_crown_age_1st_qu","st_rt_crown_age_median","st_rt_crown_age_mean","st_rt_crown_age_3rd_qu","st_rt_crown_age_max","st_ext_max_branching_times_min","st_ext_max_branching_times_1st_qu","st_ext_max_branching_times_median","st_ext_max_branching_times_mean","st_ext_max_branching_times_3rd_qu","st_ext_max_branching_times_max","st_ext_tree_height_min","st_ext_tree_height_1st_qu","st_ext_tree_height_median","st_ext_tree_height_mean","st_ext_tree_height_3rd_qu","st_ext_tree_height_max","st_ext_crown_age_min","st_ext_crown_age_1st_qu","st_ext_crown_age_median","st_ext_crown_age_mean","st_ext_crown_age_3rd_qu","st_ext_crown_age_max","st_coal_max_branching_times_min","st_coal_max_branching_times_1st_qu","st_coal_max_branching_times_median","st_coal_max_branching_times_mean","st_coal_max_branching_times_3rd_qu","st_coal_max_branching_times_max","st_coal_tree_height_min","st_coal_tree_height_1st_qu","st_coal_tree_height_median","st_coal_tree_height_mean","st_coal_tree_height_3rd_qu","st_coal_tree_height_max","st_coal_crown_age_min","st_coal_crown_age_1st_qu","st_coal_crown_age_median","st_coal_crown_age_mean","st_coal_crown_age_3rd_qu","st_coal_crown_age_max"
1,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_001_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.109745051603335,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
2,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_002_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.0253996731753787,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
3,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_003_0.01",0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.0150561564488443,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
4,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_004_0.01",0.0153661192938282,0.0153661192938282,0.0153661192938282,0.0153661192938282,0.0153661192938282,0.0153661192938282,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.0260618444182054,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_005_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.0103894143855572,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
6,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_006_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_007_0.01",0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.0128676198869862,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
8,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_008_0.01",0.0124057024654754,0.0124057024654754,0.0124057024654754,0.0124057024654754,0.0124057024654754,0.0124057024654754,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.0146969815850057,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
9,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_009_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.0121846107616168,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
10,10,1,0.01,"JC",NA,10000,"DNA","ts_00001_0010_010_0.01",0.01,0.01,0.01,0.01,0.01,0.01,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.0103620552381695,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
