"","row_id","num_reps","num_taxa","num_trees","tree_depth","uid","alisim_gene_models","alisim_gene_tree_length","total_alignment_length","sequence_type","tree_file","partition_file","output_alignment_file"
"24",24,24,100,1,1,"expA2_00001_0100_024_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_024_1_10kbp/expA2_00001_0100_024_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_024_1_10kbp/expA2_00001_0100_024_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_024_1_10kbp/expA2_00001_0100_024_1_10kbp_output_alignment.fa"
"25",25,25,100,1,1,"expA2_00001_0100_025_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_025_1_10kbp/expA2_00001_0100_025_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_025_1_10kbp/expA2_00001_0100_025_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_025_1_10kbp/expA2_00001_0100_025_1_10kbp_output_alignment.fa"
"26",26,26,100,1,1,"expA2_00001_0100_026_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_026_1_10kbp/expA2_00001_0100_026_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_026_1_10kbp/expA2_00001_0100_026_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_026_1_10kbp/expA2_00001_0100_026_1_10kbp_output_alignment.fa"
"27",27,27,100,1,1,"expA2_00001_0100_027_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_027_1_10kbp/expA2_00001_0100_027_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_027_1_10kbp/expA2_00001_0100_027_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_027_1_10kbp/expA2_00001_0100_027_1_10kbp_output_alignment.fa"
"28",28,28,100,1,1,"expA2_00001_0100_028_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_028_1_10kbp/expA2_00001_0100_028_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_028_1_10kbp/expA2_00001_0100_028_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_028_1_10kbp/expA2_00001_0100_028_1_10kbp_output_alignment.fa"
"29",29,29,100,1,1,"expA2_00001_0100_029_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_029_1_10kbp/expA2_00001_0100_029_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_029_1_10kbp/expA2_00001_0100_029_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_029_1_10kbp/expA2_00001_0100_029_1_10kbp_output_alignment.fa"
"30",30,30,100,1,1,"expA2_00001_0100_030_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_030_1_10kbp/expA2_00001_0100_030_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_030_1_10kbp/expA2_00001_0100_030_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_030_1_10kbp/expA2_00001_0100_030_1_10kbp_output_alignment.fa"
"31",31,31,100,1,1,"expA2_00001_0100_031_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_031_1_10kbp/expA2_00001_0100_031_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_031_1_10kbp/expA2_00001_0100_031_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_031_1_10kbp/expA2_00001_0100_031_1_10kbp_output_alignment.fa"
"32",32,32,100,1,1,"expA2_00001_0100_032_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_032_1_10kbp/expA2_00001_0100_032_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_032_1_10kbp/expA2_00001_0100_032_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_032_1_10kbp/expA2_00001_0100_032_1_10kbp_output_alignment.fa"
"33",33,33,100,1,1,"expA2_00001_0100_033_1_10kbp","JC",NA,10000,"DNA","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_033_1_10kbp/expA2_00001_0100_033_1_10kbp_random_trees.phy","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_033_1_10kbp/expA2_00001_0100_033_1_10kbp_partitions.nex","/mnt/data/dayhoff/home/u5348329/treelikeness_supp/suppA/exp_A2/expA2_00001_0100_033_1_10kbp/expA2_00001_0100_033_1_10kbp_output_alignment.fa"
